The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_s        angle          gamma_in       angle          
331       0         6044      0.38795        97.68103       0.88241        -29.69351      
332       90        6044      0.38665        91.97793       0.88237        -29.76342      
333       180       6044      0.38527        86.1783        0.88218        -29.83936      
334       270       6044      0.38403        80.4343        0.88182        -29.91845      
335       360       6044      0.383          74.60523       0.88126        -30.00116      
336       450       6044      0.38182        68.81663       0.88046        -30.08275      
337       540       6044      0.38087        63.03838       0.87939        -30.16047      
338       630       6044      0.37955        57.25329       0.87804        -30.22867      
339       720       6044      0.37815        51.44206       0.87643        -30.28237      
340       810       6044      0.37722        45.55535       0.8746         -30.31783      
341       900       6044      0.37555        39.77013       0.87267        -30.32581      
342       990       6044      0.37456        33.86277       0.8707         -30.30903      
343       1080      6044      0.37309        28.03017       0.86886        -30.26438      
344       1170      6044      0.37183        22.13913       0.86722        -30.19691      
345       1260      6044      0.37101        16.27909       0.86587        -30.11332      
346       1350      6044      0.37014        10.41838       0.86484        -30.01838      
347       1440      6044      0.36901        4.49575        0.86414        -29.91727      
348       1530      6044      0.36792        -1.35196       0.86375        -29.81822      
349       1620      6044      0.36734        -7.29236       0.8636         -29.72237      
350       1710      6044      0.36704        -13.12124      0.86366        -29.63497      
351       1800      6044      0.36655        -19.10651      0.86389        -29.55355      
352       1890      6044      0.36591        -24.98075      0.86425        -29.48249      
353       1980      6044      0.36526        -30.92435      0.8647         -29.41933      
354       2070      6044      0.36496        -36.81296      0.8652         -29.36462      
355       2160      6044      0.3649         -42.70495      0.86574        -29.31708      
356       2250      6044      0.36495        -48.66438      0.86631        -29.27569      
357       2340      6044      0.36464        -54.54218      0.86689        -29.24121      
358       2430      6044      0.36536        -60.43911      0.86746        -29.21087      
359       2520      6044      0.36582        -66.33495      0.86803        -29.18548      
360       2610      6044      0.36608        -72.22034      0.8686         -29.16446      
361       2700      6044      0.36676        -78.06212      0.86916        -29.14677      
362       2790      6044      0.36735        -83.97357      0.86971        -29.13222      
363       2880      6044      0.36834        -89.73795      0.87023        -29.12044      
364       2970      6044      0.36926        -95.6232       0.87076        -29.11106      
365       3060      6044      0.37           -101.43629     0.87127        -29.10422      
366       3150      6044      0.37077        -107.21867     0.87177        -29.09944      
367       3240      6044      0.37228        -113.02722     0.87226        -29.0959       
368       3330      6044      0.37302        -118.80211     0.87274        -29.09477      
369       3420      6044      0.37389        -124.5808      0.87322        -29.09516      
370       3510      6044      0.37508        -130.29714     0.87368        -29.09679      
371       3600      6044      0.37586        -136.01481     0.87413        -29.1002       
372       3690      6044      0.37689        -141.67614     0.87457        -29.10476      
373       3780      6044      0.37771        -147.41864     0.87502        -29.11096      
374       3870      6044      0.37889        -153.0707      0.87545        -29.11815      
375       3960      6044      0.37984        -158.76925     0.87589        -29.12697      
376       4050      6044      0.38095        -164.45        0.87632        -29.13707      
377       4140      6044      0.38128        -170.09027     0.87674        -29.14913      
378       4230      6044      0.38193        -175.73489     0.87716        -29.16249      
379       4320      6044      0.38246        178.64472      0.87758        -29.17748      
380       4410      6044      0.3832         172.98665      0.878          -29.19416      
381       4500      6044      0.38371        167.4          0.87841        -29.21263      
382       4590      6044      0.3839         161.76047      0.87882        -29.23351      
383       4680      6044      0.38413        156.17777      0.87922        -29.25632      
384       4770      6044      0.38439        150.5063       0.87962        -29.28189      
385       4860      6044      0.38461        144.91392      0.88001        -29.30977      
386       4950      6044      0.384          139.29761      0.88038        -29.34121      
387       5040      6044      0.38376        133.67654      0.88074        -29.37562      
388       5130      6044      0.38286        128.04975      0.88108        -29.41396      
389       5220      6044      0.38275        122.39548      0.8814         -29.45592      
390       5310      6044      0.38238        116.73394      0.88168        -29.50233      
391       5400      6044      0.38153        111.07524      0.88191        -29.55352      
392       5490      6044      0.38036        105.40833      0.88207        -29.60968      
393       5580      6044      0.37998        99.65783       0.88218        -29.67158      
394       5670      6044      0.37925        93.99308       0.88218        -29.73772      
395       5760      6044      0.37778        88.25508       0.88202        -29.80931      
396       5850      6044      0.37696        82.5174        0.88174        -29.88499      
397       0         6115      0.43163        96.43897       0.88361        -29.70271      
398       82        6115      0.43034        91.22709       0.88365        -29.7756       
399       164       6115      0.42926        85.92187       0.88357        -29.85594      
400       246       6115      0.42797        80.67807       0.88332        -29.94092      
401       328       6115      0.42697        75.47433       0.88288        -30.02983      
402       410       6115      0.42601        70.11884       0.8822         -30.12408      
403       492       6115      0.42461        64.93141       0.88124        -30.21417      
404       574       6115      0.42353        59.63313       0.87997        -30.30172      
405       656       6115      0.42207        54.33092       0.87837        -30.37765      
406       738       6115      0.42106        49.04566       0.8765         -30.43743      
407       820       6115      0.41961        43.6762        0.87436        -30.47274      
408       902       6115      0.4184         38.38679       0.87212        -30.47953      
409       984       6115      0.41733        33.03587       0.86987        -30.45569      
410       1066      6115      0.41611        27.71719       0.86777        -30.40126      
411       1148      6115      0.41521        22.3932        0.86592        -30.32211      
412       1230      6115      0.41415        17.06306       0.86442        -30.22322      
413       1312      6115      0.41313        11.72863       0.86329        -30.11289      
